"Categoría de producto","Nombre","Precio de venta","Referencia interna"
"Canalización / Tubo rojo","Tubo corrugado para canalización de cables PVC DN110 resistencia 450N con guia rojo","3.72","K110 1955000110"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Unión atornillable Luz Negra ip44 con tapas y tornillos para tiras flexibles con ancho total de 12mm","7.2","LNUNION-12MM 42169 42.169"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Regulador de intensidad Luz Negra monocolor triac dali + push - 230v (200w) - ip20 - 1 canal","103.44","LNREG-DALI-230V 41081 41.081"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Conector Luz Negra 9 en 1 para tiras flexibles ip20 con pcb de 10mm sin cable","0.91","LNCON-10MM 42185 42.185"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Cable paralelo Luz Negra0,5mm rojo y negro","0.63","LNPARALELO 42051 42.051"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Conector Luz Negra 9 en 1 para tiras flexibles ip20 con pcb de 5mm sin cable","9.18","LNCON-5MM 42183 42.183"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Kit conector estanco Luz Negra IP65 atornillable con cable de 20cm.","4.12","LNCONESTANCO 42004 42.004"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Conector atornillable Luz Negra en ""CRUZ"" ip44 con tapas y tornillos para tiras flexibles con ancho total de 12mm sin cable","14.02","LNCON-CRUZ-12MM 42171 42.171"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Conector atornillable Luz Negra en ""L HORIZONTAL"" ip44 con tapas y tornillos para tiras flexibles con ancho total de 12mm.","9.5","LNCON-L-12MM 42172 42.172"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Conector atornillable Luz Negra en ""T"" ip44 con tapas y tornillos para tiras flexibles con ancho total de 12mm","11.74","LNCON-T-12MM 42170 42.170"
"Iluminación / Tiras LED / Luz Negra / Accesorios","Silicona transparente Luz Negra para estancar tubo 45gr.","16.37","LNSILICONA 22140 22.140"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob roll to roll - 4000k - 24v - 11w/m - ip20 - 480leds/m - ancho de tira 8mm","8.62","LN24-4000-8MM 31241 31.241"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled infinity cob - 3000k - 230v - 14w/m - ip65 - ancho de tira 10mm","16.37","LN230-3000-10MM 34066 34.066"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob slim 5mm – 4000k - 24v - 10w/m – ip20 - ancho de tira 5mm","11.01","LN24-4000-5MM 31141 31.141"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob ip67 - 4000k - 24v - 15w/m - ancho de tira 10mm","20.36","LN24-4000-10MM 31105 31.105"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled infinity cob - 4000k - 230v - 14w/m - ip65 - ancho de tira 10mm","16.37","LN230-4000-10MM 34038 34.038"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob ip67 - 2700k - 24v - 15w/m - ancho de tira 10mm","20.36","LN24-2700-10MM 31208 31.208"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled infinity cob - 2700k - 230v - 14w/m - ip65 - ancho de tira 10mm","16.37","LN230-2700-10MM 34039 34.039"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob roll to roll - 3000k - 24v - 11w/m - ip20 - 480leds/m - ancho de tira 8mm","8.62","LN24-3000-8MM 31240 31.240"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob roll to roll - 2700k - 24v - 11w/m - ip20 - 480leds/m - ancho de tira 8mm","8.62","LN24-2700-8MM 31239 31.239"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob slim 5mm – 2700k - 24v - 10w/m – ip20 - ancho de tira 5mm","11.01","LN24-2700-5MM 31140 31.140"
"Iluminación / Tiras LED / Luz Negra","Tira flexible Luz Negra ecoled cob ip67 - 3000k - 24v - 15w/m - ancho de tira 10mm","20.36","LN24-3000-10MM 31104 31.104"
"Canalización / Forro / Blanco","Tubo corrugado forrado Blanco 32mm² ⌀","1.87","FORROBLANCO32 080600032"
"Canalización / Forro / Blanco","Tubo corrugado forrado Blanco 25mm² ⌀","1.23","FORROBLANCO25 080600025"
"Canalización / Forro / Blanco","Tubo corrugado forrado Blanco 50mm² ⌀","3.93","FORROBLANCO50 080600050"
"Canalización / Forro / Blanco","Tubo corrugado forrado Blanco 40mm² ⌀","2.61","FORROBLANCO40 080600040"
"Canalización / Forro / Blanco","Tubo corrugado forrado Blanco 20mm² ⌀","0.91","FORROBLANCO20 080600020"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN50 libre de halógenos (LHA) resistencia 320N gris","6.04","FORROLH50 6200020050"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN32 libre de halógenos (LHA) resistencia 320N gris","3.37","FORROLH32 6200020032"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN40 libre de halógenos (LHA) resistencia 320N gris","5.27","FORROLH4O 6200020040"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN25 libre de halógenos (LHA) resistencia 320N gris","2.27","FORROLH25 6200020025"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN20 libre de halógenos (LHA) resistencia 320N gris","1.71","FORROLH20 6200020020"
"Canalización / Forro / Blanco / Libre Halógenos","Tubo corrugado para canalización de cables poliolefina DN16 libre de halógenos (LHA) resistencia 320N gris","1.33","FORROLH16 6200020016"
"Iluminación / Luminarias / Downlights","Aro empotrable Indeluz Leda circular 1x50W GU10 blanco orientable","12.0","INDALUZEMP LEDA 752A-G42X1B-01"
"Cuadros / Protecciones / Hager / Sobretensiones","Interruptor automático magnetotérmico terciario Hager M C63 1P+N 6/10kA","352.61","MCA563"
"Cuadros / Protecciones / Hager / Sobretensiones","Protección contra sobretensiones para red eléctrica Hager SPBD 1,3kV 5kA 2p 63A carril DIN 35 mm (perfil sombrero) 1 módulo ","131.66","SPB205D"
"Cuadros / Protecciones / Hager / Sobretensiones","Bobina protección sobretensiones permanentes 230V","122.42","MZ212"
"Cableado / Trenzado / Accesorios","Conector de perforación ABT/CT-95/10 SOFAMEL","3.66","PETACA95/10 136091"
"Cableado / Trenzado / Accesorios","Conector perforador ABT/CT-95/35 SOFAMEL","5.94","PETACA95/35 136120"
"Cableado / Trenzado / Accesorios","Conector perforador ABT/CT-150/35 SOFAMEL","6.07","PETACA105/35 136130"
"Cableado / Trenzado / Accesorios","Conector de perforación ABT/CT-35/6 SOFAMEL","3.26","PETACA35/6 136090"
"Cableado / Unifilar","Cable solar LHA H1Z2Z2-K, 6mm2 1500V clase 5 flexible","3.0","S1X6 H1Z2Z2-K"
"Cableado / Trenzado / Accesorios","Piqueta de toma de tierra 2 mts con abrazadera simple","59.65","PIQUETA        "
"Cajas / Acometida / Puertas","Puerta metálica CAHORS para nicho de 900 mm alto x 500 mm ancho MODULO TRIFÁSICO","273.0","CAH90X50 0931109"
"Cajas / Acometida / Puertas","Puerta metálica CAHORS para nicho de 600 mm alto x 600 mm ancho MODULO MONOFASICO","152.0","CAH60X60 0931102"
"Cajas / Acometida / Puertas","Puerta para nicho CAHORS 2 cierres triangular 1900x900x260mm MEDICION INDIRECTA","604.0","CAHX190X90 0931280"
"Cajas / Acometida / Puertas","Puerta metálica CAHORS para nicho de 1.150 mm alto x 1.300 mm ancho CS+CGP HORIZONTAL","630.0","CAH115X130 0931294"
"Cajas / Ide","Caja empotrar universal para pared de pladur 2 elementos","4.77","PLADUR2 D70/2K"
"Cajas / Ide","Caja empotrar universal para pared de pladur 4 elementos","11.12","PLADUR4 D70/4K"
"Cajas / Ide","Separador para cajas empotrables de la marca Kaiser rojo","1.17","SEPARADORROJO 1887"
"Cajas / Ide","Caja empotrar universal para pared de pladur 1 elemento","1.84","PLADUR1 D70/1K"
"Cajas / Ide","Caja empotrar universal para pared de pladur 3 elementos","6.28","PLADUR3 D70/3K"
"Cajas / Kopos","Cajetín para mecanismo Kopos 2 módulos 138x68x50mm goma","5.11","KOPOS2 6621010292"
"Cajas / Kopos","Cajetín para mecanismo Kopos 3 módulos 209x68x50mm goma","6.73","KOPOS3 6621010293"
"Cajas / Kopos","Cajetín para mecanismo Kopos 1 módulo Ø68mm goma","2.7","KOPOS1 6621010290"
"Cajas / Kopos","Cajetín para mecanismo Kopos 5 módulos 351x68x50mm goma","15.51","KOPOS5 6621010295"
"Cajas / Kopos","Cajetín para mecanismo Kopos 4 módulos 280x68x50mm goma","11.31","KOPOS4 6621010294"
"Partidas","Servicio según partes de horas","40.0","SERVICIOHORAS"
"Partidas","Diagnosis de la incidencia","80.0","V2C"
"Partidas","'- No se incluyen reparaciones de instalación tipo toma de tierra insuficiente, problema de 2 fases en el suministro u otros problemas los cuales afecten a el correcto funcionamiento del cargador.","0.0","VE"
"Partidas","Punto de recarga para vehículo eléctrico V2C Trydan PRO 7,4kW monofásico cable tipo 2 5m pared con protecciones eléctricas","832.5","TRYDANPRO CON PROTECCIONES"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 48 Ø50mm","25.66","BINKEBLINDAT48 45048"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 36 Ø39mm","19.68","BINKEBLINDAT36 45036"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 29 Ø30mm","14.08","BINKEBLINDAT29 45029"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 21 Ø22mm","8.72","BINKEBLINDAT21 45021"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 11 Ø14mm","5.69","BINKEBLIDAT11 45011"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 16 Ø17mm","6.87","BINKEBLINDAT16 45016"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 13 Ø15mm","6.1","BINKEBLINDAT13 45013"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 9 Ø11mm","4.53","BINKEBLINDAT9 45009"
"Canalización / Binke / Blindado","Tubo metálico flexible para instalación de cables Interflex Ecoplast Nº 7 Ø9mm","3.98","BINKEBLINDAT7 45007"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M40 DN40 resistencia 320N gris","10.74","BINKEBLANC40 925.4000.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M25 DN25 resistencia 320N gris","5.78","BINKEBLANC25 925.2500.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M20 DN20 resistencia 320N gris","5.05","BINKEBLANC20 925.2000.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M16 DN16 resistencia 320N gris","4.1","BINKEBLANC16 925.1600.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M50 DN50 resistencia 320N gris","13.58","BINKEBLANC50 925.5000.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M12 DN12 resistencia 320N gris","3.02","BINKEBLANC12 925.1200.0"
"Canalización / Binke / Blanco","Tubo corrugado para canalización de cables PVC Gaestopas Electroflex M32 DN32 resistencia 320N gris","7.4","BINKEBLANC32 925.3200.0"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 38,9x46,5mm gris Nº 36","10.5","BINKE36 77036"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 17,3x22,8mm gris Nº 16","4.19","BINKE16 77016"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 8,6x13,1mm gris Nº 7","2.56","BINKE7 77007"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 50,9x59,4mm gris Nº 48","14.53","BINKE48 77048"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 13,9x19mm gris Nº 11","3.4","BINKE11 77011"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 29,4x36,5mm gris Nº 29","7.78","BINKE29 77029"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 15,3x20,6mm gris Nº 13","3.69","BINKE13 77013"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 10,4x15,3mm gris Nº 9","2.7","BINKE9 77009"
"Canalización / Binke / Gris","Interflex tubo PVC para instalación de cables Heliplast roscado 21,8x27,5mm gris Nº 21","5.23","BINKE21 77021"
"Cuadros / Hager / Empotrar","Kit de fijación Hager para pared hueca de cajas emp. Golf VF","14.3","GOLFFIJACION VZ696N"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 8 módulos puerta ciego IP40","50.08","PRAGMASUP8 MIP10108"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 3 filas 36 módulos puerta ciego IP40","139.28","PRAGMASUP36 MIP10312"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 2 filas 24 módulos puerta ciego IP40","87.47","PRAGMASUP24 MIP10212"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 12 módulos puerta ciego IP40","58.17","PRAGMASUP12 MIP10112"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 4 módulos puerta ciego IP40","36.56","PRAGMASUP4 MIP10104"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 6 módulos puerta ciego IP40","43.28","PRAGMASUP6 MIP10106"
"Cuadros / Schneider / Superfície","Caja de distribución Schneider Electric Mini Pragma superficie 1 fila 18 módulos puerta ciego IP40","83.07","PRAGMASUP18 MIP10118"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 4 filas 96 módulos puerta ciega IP40","1073.26","PRAGMA96 LVSXG424"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 8 módulos puerta ciego IP40","35.45","PRAGMAEMP8 MIP20108"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 3 filas 36 módulos puerta ciego IP40","119.85","PRAGMAEMP36 MIP20312"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 2 filas 48 módulos puerta ciega IP40","750.48","PRAGMA48 LVSXG224"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 2 filas 36 módulos puerta ciega IP40","212.08","PRAGMA36 LVSXE218"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 4 filas 72 módulos puerta ciega","550.53","PRAGMA72 LVSXE418"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 2 filas 24 módulos puerta ciego IP40","75.23","PRAGMAEMP24 MIP20212"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 6 módulos puerta ciego IP40","29.49","PRAGMAEMP6 MIP20106"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 4 módulos puerta ciego IP40","21.64","PRAGMAEMP4 MIP20104"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 12 módulos puerta ciego IP40","50.02","PRAGMAEMP12 MIP20112"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric PrismaSeT empotrable 3 filas 54 módulos puerta ciega IP40","292.01","PRAGMA54 LVSXE318"
"Cuadros / Schneider / Empotrar","Caja de distribución Schneider Electric Mini Pragma empotrable 1 fila 18 módulos puerta ciego IP40","71.46","PRAGMAEMP18 MIP20118"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 3 filas 36 módulos puerta ciego IP40","122.0","GOLFSUP36M3FILAS VS312PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 1 fila 18 módulos puerta ciego IP40","75.6","GOLFSUP18 VS118PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 1 fila 12 módulos puerta ciego IP40","43.5","GOLFSUP12 VS112PEB"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 4 filas 72 módulos puerta ciego IP40","319.8","GOLFSUP72 VS418PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 3 filas 54 módulos puerta ciego IP40","184.75","GOLFSUP54M3FILAS VS318PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 4 filas 48 módulos puerta ciego IP40","170.95","GOLFSUP48 VS412PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 2 filas 36 módulos puerta ciego IP40","134.35","GOLFSUP36M2FILAS VS218PES"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VS superficie 2 filas 24 módulos puerta ciego IP40","78.85","GOLFSUP24 VS212PE"
"Cuadros / Hager / Superfície","Caja de distribución Hager Golf VF empotrable 3 filas 36 módulos puerta ciego IP40","109.1","GOLFEMP36M3FILAS VF312PE"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 4 filas 72 módulos puerta ciego IP40","299.65","GOLFEMP72 VF418PES"
"Cuadros / Hager / Empotrar","Cuadro de automáticos Hager Golf VU empotrable 5 filas 60 módulos con tapa opaca","269.65","GOLFEMP60M VU60EP"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 1 fila 12 módulos puerta ciego IP40","38.15","GOLFEMP12 VF112PEB"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 2 filas 36 módulos puerta ciego IP40","117.45","GOLFEMP36M2FILAS VF218PES"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 4 filas 48 módulos puerta ciego IP40","166.0","GOLFEMP48 VF412PE"
"Cuadros / Hager / Empotrar","Cuadro de automáticos Hager Golf VU empotrable 4 filas 48 módulos con tapa opaca","251.6","GOLFEMP48M VU48EP"
"Cuadros / Hager / Empotrar","Cuadro de automáticos Hager Golf VU empotrable 3 filas 36 módulos con tapa opaca","157.45","GOLFEMP36M VU36EP"
"Cuadros / Hager / Empotrar","Cuadro de automáticos Hager Golf VU empotrable 2 filas 24 módulos con tapa opaca","108.7","GOLFEMP24M VU24EP"
"Cuadros / Hager / Empotrar","Caja de distribución Hager Golf VF empotrable 2 filas 24 módulos puerta ciego IP40","55.15","GOLFEMP24 VF212PEB"
"Cajas / Acometida / Puertas","Puerta para nicho CAHORS PPN12090 1200x900x300mm triangular","399.0","CAH120X90 0931220"
"Cajas / Acometida / Puertas","Puerta para modulo trifasico con fusibles UTE","199.5","PUERTATRIUTE   "
"Cajas / Acometida / Puertas","PUERTA IK10 TIPO GESA 80cm ALTO x 40cm ANCHO CPM-1T","225.99","PUERTATRIAL    "
"Cajas / Acometida / Puertas","Persiana Madera Norte tipo mallorquina 40cm alto X 40cm ancho","165.0","PERSIANAMADERA50X40"
"Cajas / Acometida / Puertas","PUERTA IK10 TIPO GESA 40cm ALTO x 50cm ANCHO CPM-1M","165.66","PUERTAMONOAL   "
"Cajas / Acometida / Puertas","Persiana GESA Norte 40X50 para contador monofasico","146.3","PERSIANAMONO   "
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 220x170x86mm 14 tomas","16.65","SUP220 092186"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 180x140x92mm 10 tomas","12.13","SUP180 092176"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 105x105x55mm 7 tomas LH","4.97","SUP100 092022"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 155x110x74mm 10 tomas","8.91","SUP150 092166"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 80x80x45mm 7 tomas LH","2.83","SUP80 092012"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 310x240x124mm 18 tomas","84.11","SUP310 092196"
"Cajas / Plexo / Con Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster Ø70x45mm 4 tomas LH","2.61","SUPREDONDA 092002"
"Cajas / Plexo / Sin Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 220x170x86mm sin tomas","15.89","SUP220ST 035966"
"Cajas / Plexo / Sin Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 180x140x86mm sin tomas","11.55","SUP180ST 035956"
"Cajas / Plexo / Sin Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 155x110x74mm sin tomas","8.77","SUP150ST 035946"
"Cajas / Plexo / Sin Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 310x240x124mm sin tomas","89.65","SUP310ST 035986"
"Cajas / Plexo / Sin Tomas","Caja de empalme para superficie mural/techo Legrand Plexo poliéster 105x105x55mm sin tomas LH","4.9","SUP100ST 092020"
"Cuadros / Ide / Superfície","Caja de distribución IdE IP40 de superficie 70 módulos","237.19","IDE70SUP GMST70PO"
"Cuadros / Ide / Superfície","Caja de distribución IdE IP40 de superficie 28 módulos","156.57","IDE28SUP GMST28PO"
"Cuadros / Ide / Superfície","Caja de distribución IdE IP40 de superficie 42 módulos","181.87","IDE42SUP GMST42PO"
"Cuadros / Ide / Superfície","Caja de distribución IdE IP40 de superficie 56 módulos","200.85","IDE56SUP GMST56PO"
"Cuadros / Ide / Empotrar / Pared","Caja distribución de empotrar IDE 5x14 módulos ( 70 ) con puerta metálica","131.65","IDE70PO GME70PO"
"Cuadros / Ide / Empotrar / Pared","Caja distribución de empotrar IDE 3x14 módulos ( 42 ) con puerta metálica","96.19","IDE42PO GME42PO"
"Cuadros / Ide / Empotrar / Pared","Caja multimedia de empotrar IDE 425x295 con puerta metálica","111.6","IDE56TPO GMEM56PO"
"Cuadros / Ide / Empotrar / Pared","Caja multimedia de empotrar IDE 550x295 con puerta metálica","138.46","IDE70TPO GMEM70PO"
"Cuadros / Ide / Empotrar / Pared","Caja distribución de empotrar IDE 2x14 módulos ( 28 ) con puerta metálica","80.12","IDE28PO GME28PO"
"Cuadros / Ide / Empotrar / Pared","Caja multimedia de empotrar IDE 300x295 con puerta metálica","94.64","IDE42TPO GMEM42PO"
"Cuadros / Ide / Empotrar / Pared","Caja distribución de empotrar IDE 4x14 módulos ( 56 ) con puerta metálica","120.1","IDE56PO GME56PO"
"Cuadros / Ide / Empotrar / Pladur","Caja distribución de empotrar IDE 5x14 módulos ( 70 ) con puerta metálica para pared de pladur","155.74","IDE70PH GME70PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja multimedia de empotrar IDE 425x295 con puerta metálica para pared de pladur","129.2","IDE56TPH GMEM56PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja distribución de empotrar IDE 3x14 módulos ( 42 ) con puerta metálica para pared de pladur ","113.88","IDE42PH GME42PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja multimedia de empotrar IDE 300x295 con puerta metálica para pared de pladur","110.46","IDE42TPH GMEM42PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja distribución de empotrar IDE 4x14 módulos ( 56 ) con puerta metálica para pared de pladur ","141.01","IDE56PH GME56PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja multimedia de empotrar IDE 550x295 con puerta metálica para pared de pladur","161.0","IDE70TPH GMEM70PO/PH"
"Cuadros / Ide / Empotrar / Pladur","Caja distribución de empotrar IDE 2x14 módulos ( 28 ) con puerta metálica para pared de pladur","94.39","IDE28PH GME28PO/PH"
"Epis","GUANTES LATEX JUBA DIELÉCTRICO 500v","27.95","2091903"
"Epis","Casco industrial con pantalla tactil integrada SICAME MO-185","125.0","00197252"
"Epis","Casco con ventilación G3000","24.95","00195958"
"Epis","Gafas PEGASO SICURIS 73.9 Antivaho","4.25","00154131"
"Epis","CASCO IRUDEK OREKA P/TRABAJO EN ALTURA","33.95","00236062"
"Epis","Tapones auditivos de espuma","0.34","00215036"
"Epis","Kit IRUDEK ROQUE NUBLO ARNES + 2 MOSQUETONES + CUERDA+ BOLSA","29.95","00214903"
"Epis","Alfombra aislante de caucho de alta calidad dieléctrica","35.95","00185723"
"Epis","KIT IRUDEK PIRINEOS CINTURON + 2 MOSQUETONES+ CUERDA+ BOLSA","28.5","00214901"
"Epis","Mascarilla autofilt rante para partículas","2.6","00212338"
"Cuadros / Accesorios / Repartidores / IdE","Bloque repartidor IdE 4 polos, 1 entrada - 14 salidas, 125A","54.31","REPAR48723 48723"
"Cuadros / Accesorios / Repartidores / IdE","Bloque repartidor IdE 4 polos, 1 entrada - 10 salidas, 125A","38.34","REPAR48722 48722"
"Cuadros / Accesorios / Repartidores / IdE","Bloque repartidor IdE 4 polos, 1 entrada - 6 salidas, 125A","23.8","REPAR48724 48724"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 8 módulos puerta transparente estanco (IP65)","66.67","8EST 601998"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 4 filas 72 módulos puerta transparente estanco (IP65)","626.46","72EST 601838"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 3 filas 54 módulos puerta transparente estanco (IP65)","334.53","54EST 601837"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 2 filas 36 módulos puerta transparente estanco (IP65)","265.63","36EST2FILAS 601836"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 12 módulos puerta transparente estanco (IP65)","93.3","12EST 601831"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 4 módulos puerta transparente estanco (IP65)","33.69","4EST 601994"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 6 módulos puerta transparente estanco (IP65)","42.62","6EST 601996"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 3 módulos puerta transparente estanco (IP65)","29.03","3EST 601932"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 2 filas 24 módulos puerta transparente estanco (IP65)","190.98","24EST 601832"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 1 fila 18 módulos puerta transparente estanco (IP65)","159.8","18EST 601835"
"Cuadros / Plexo","Caja de distribución Legrand Plexo3 superficie 3 filas 36 módulos puerta transparente estanco (IP65)","237.82","36EST3FILAS 601833"
"Cuadros / Accesorios / Repartidores / Monoblock","Bloque conexión 1P 160A 2X50+3X16/8X10 mm²","79.55","MONOBLOCK160AH KJ02CN"
"Cuadros / Accesorios / Repartidores / Monoblock","Borna de distribución Schneider Electric Prisma G 1 polos 70 mm²","55.0","MONOBLOCK160A LGY116013"
"Cuadros / Accesorios / Repartidores / Legrand","Repartidor para armario de distribución Legrand 2 polos 100A 6 conexiones","41.39","REPAR400401 400401"
